team,match_key,player_key
Delhi Capitals,1304110,STr1381
Delhi Capitals,1304110,KYv289
Delhi Capitals,1304110,ANe1413
Delhi Capitals,1304110,KAd1449
Punjab Kings,1304110,JBw476
Punjab Kings,1304110,SDn283
Punjab Kings,1304110,PRa382
Punjab Kings,1304110,LLe1627
Punjab Kings,1304110,MAl3458
Punjab Kings,1304110,JSa3472
Punjab Kings,1304110,HBr3528
Punjab Kings,1304110,RDn2609
Punjab Kings,1304110,RCr290
Punjab Kings,1304110,KRa603
Punjab Kings,1304110,ASh1994
Rajasthan Royals,1312197,YJl3557
Rajasthan Royals,1312197,JBr161
Rajasthan Royals,1312197,SSn285
Rajasthan Royals,1312197,DPl284
Rajasthan Royals,1312197,SHr892
Rajasthan Royals,1312197,RPg3493
Rajasthan Royals,1312197,RAn610
Rajasthan Royals,1312197,TBt732
Rajasthan Royals,1312197,YCl723
Rajasthan Royals,1312197,MPKa3494
Rajasthan Royals,1312197,OMy518
Gujarat Titans,1312197,WSa3464
Gujarat Titans,1312197,SGl3465
Gujarat Titans,1312197,MWe834
Gujarat Titans,1312197,HPa719
Gujarat Titans,1312197,DMr440
Gujarat Titans,1312197,RTa3459
Gujarat Titans,1312197,RKn207
Gujarat Titans,1312197,RSKe3558
Gujarat Titans,1312197,AJh2407
Gujarat Titans,1312197,YDl3467
Gujarat Titans,1312197,MSi1186
Punjab Kings,1304106,JBw476
Punjab Kings,1304106,SDn283
Punjab Kings,1304106,PRa382
Punjab Kings,1304106,LLe1627
Punjab Kings,1304106,MAl3458
Punjab Kings,1304106,JSa3472
Punjab Kings,1304106,HBr3528
Punjab Kings,1304106,RDn2609
Punjab Kings,1304106,RCr290
Punjab Kings,1304106,KRa603
Punjab Kings,1304106,ASh1994
Royal Challengers Bangalore,1304106,VKi607
Royal Challengers Bangalore,1304106,FdPs439
Royal Challengers Bangalore,1304106,RPr3565
Royal Challengers Bangalore,1304106,MLr3566
Royal Challengers Bangalore,1304106,GMl156
Royal Challengers Bangalore,1304106,KKk967
Royal Challengers Bangalore,1304106,SAd3567
Royal Challengers Bangalore,1304106,HPl969
Royal Challengers Bangalore,1304106,PdSa297
Royal Challengers Bangalore,1304106,MSj971
Royal Challengers Bangalore,1304106,JHd840
Kolkata Knight Riders,1304107,VIr2222
Kolkata Knight Riders,1304107,ARe1184
Kolkata Knight Riders,1304107,NRa286
Kolkata Knight Riders,1304107,SIr720
Kolkata Knight Riders,1304107,SBs162
Kolkata Knight Riders,1304107,RSh3587
Kolkata Knight Riders,1304107,ARl347
Kolkata Knight Riders,1304107,SNe348
Kolkata Knight Riders,1304107,UYv970
Kolkata Knight Riders,1304107,TSe731
Kolkata Knight Riders,1304107,CVn292
Sunrisers Hyderabad,1304107,ASa3461
Sunrisers Hyderabad,1304107,KWn726
Sunrisers Hyderabad,1304107,RTi3462
Sunrisers Hyderabad,1304107,AMm964
Sunrisers Hyderabad,1304107,NPn514
Sunrisers Hyderabad,1304107,WSr946
Sunrisers Hyderabad,1304107,SSh3463
Sunrisers Hyderabad,1304107,MJn2600
Sunrisers Hyderabad,1304107,BKr287
Sunrisers Hyderabad,1304107,UMk1846
Sunrisers Hyderabad,1304107,TNn2447
Punjab Kings,1304054,MAl3458
Punjab Kings,1304054,SDn283
Punjab Kings,1304054,PRa382
Punjab Kings,1304054,LLe1627
Punjab Kings,1304054,RBa3605
Punjab Kings,1304054,MSKn3473
Punjab Kings,1304054,HBr3528
Punjab Kings,1304054,OSh987
Punjab Kings,1304054,RCr290
Punjab Kings,1304054,KRa603
Punjab Kings,1304054,ASh1994
Kolkata Knight Riders,1304054,ARe1184
Kolkata Knight Riders,1304054,VIr2222
Kolkata Knight Riders,1304054,SIr720
Kolkata Knight Riders,1304054,SBs162
Kolkata Knight Riders,1304054,NRa286
Kolkata Knight Riders,1304054,ARl347
Kolkata Knight Riders,1304054,SNe348
Kolkata Knight Riders,1304054,TSe731
Kolkata Knight Riders,1304054,UYv970
Kolkata Knight Riders,1304054,CVn292
Kolkata Knight Riders,1304054,SMi3535
Sunrisers Hyderabad,1304111,ASa3461
Sunrisers Hyderabad,1304111,PGg3529
Sunrisers Hyderabad,1304111,RTi3462
Sunrisers Hyderabad,1304111,NPn514
Sunrisers Hyderabad,1304111,AMm964
Sunrisers Hyderabad,1304111,KWn726
Sunrisers Hyderabad,1304111,WSr946
Sunrisers Hyderabad,1304111,BKr287
Sunrisers Hyderabad,1304111,UMk1846
Sunrisers Hyderabad,1304111,TNn2447
Sunrisers Hyderabad,1304111,FFi960
Mumbai Indians,1304111,RSa605
Mumbai Indians,1304111,IKn1380
Mumbai Indians,1304111,DSs1552
Mumbai Indians,1304111,TVa3475
Mumbai Indians,1304111,TDd1363
Mumbai Indians,1304111,TSs963
Mumbai Indians,1304111,RSh3619
Mumbai Indians,1304111,RSYv3662
Mumbai Indians,1304111,JBh724
Mumbai Indians,1304111,MMe2765
Mumbai Indians,1304111,RMh2338
Mumbai Indians,1304097,IKn1380
Mumbai Indians,1304097,RSa605
Mumbai Indians,1304097,SYv968
Mumbai Indians,1304097,TVa3475
Mumbai Indians,1304097,KPd513
Mumbai Indians,1304097,TDd1363
Mumbai Indians,1304097,DSs1552
Mumbai Indians,1304097,MAn3471
Mumbai Indians,1304097,KKa3497
Mumbai Indians,1304097,JBh724
Mumbai Indians,1304097,RMh2338
Gujarat Titans,1304097,WSa3464
Gujarat Titans,1304097,SGl3465
Gujarat Titans,1304097,HPa719
Gujarat Titans,1304097,BSSn3664
Gujarat Titans,1304097,DMr440
Gujarat Titans,1304097,RTa3459
Gujarat Titans,1304097,RKn207
Gujarat Titans,1304097,PSn3443
Gujarat Titans,1304097,LFn403
